2026-03-25 21:47:54 | INFO     | ========== EXECUTANDO MODULO MASTER ==========
2026-03-25 21:47:55 | INFO     | O filme 4K Sonic the Hedgehog 3 não possui áudio nativo PT-BR. Acionando Bypass qBittorrent.
2026-03-25 21:47:55 | INFO     | Buscando releases para o filme ID 62 no Radarr (pode demorar até 60s)...
2026-03-25 21:48:00 | INFO     | Busca retornou 53 releases. Top 5 scores: [18525, 18525, 18500, 18500, 11525]
2026-03-25 21:48:00 | INFO     | Release ignorada por falta de evidência PT-BR: Sonic.The.Hedgehog.3.2024.REPACK.1080p.AMZN.WEB-DL.DDP5.1.Atmos.H.264-FLUX [indexer=Torrentio (Prowlarr)]
2026-03-25 21:48:00 | INFO     | Release ignorada por falta de evidência PT-BR: Sonic The Hedgehog 3 2024 REPACK 1080p AMZN WEB-DL DDP5 1 Atmos H 264-FLUX [indexer=Torrentio (Prowlarr)]
2026-03-25 21:48:00 | INFO     | Release detectada [Score 18525][WEBDL-1080p]: Sonic 3 - O Filme 2024 WEB-DL 1080p x264 DUAL 5.1 | Tiebreaker: 18
2026-03-25 21:48:00 | INFO     | Release detectada [Score 18525][WEBDL-1080p]: Sonic.3.O.Filme.2024.1080p.WEB-DL.DUAL.5.1 | Tiebreaker: 18
2026-03-25 21:48:00 | INFO     | Candidato #1 [Tiebreaker 18][History 0][Precheck GOOD][WEBDL-1080p]: Sonic 3 - O Filme 2024 WEB-DL 1080p x264 DUAL 5.1 (Tiebreaker 18 (Keywords: [PTBR]audio, [DUAL]multi, [SRC]WEBDL) | history:none | precheck:eligible)
2026-03-25 21:48:00 | INFO     | Candidato #2 [Tiebreaker 18][History 0][Precheck GOOD][WEBDL-1080p]: Sonic.3.O.Filme.2024.1080p.WEB-DL.DUAL.5.1 (Tiebreaker 18 (Keywords: [PTBR]audio, [DUAL]multi, [SRC]WEBDL) | history:none | precheck:eligible)
2026-03-25 21:48:00 | INFO     | Resumo da busca PT-BR: low_score_or_url=47, blacklist=1, quality=1, no_seeds=0, no_ptbr=2, precheck=0, eligible=2, reason=OK
2026-03-25 21:48:07 | INFO     | Injetando torrent capturado diretamente no client P2P...
2026-03-25 21:48:08 | WARNING  | Falha ajustando prioridade do qBittorrent para ptbrmerger: 409 Client Error: Conflict for url: http://localhost:8080/api/v2/torrents/topPrio
2026-03-25 21:48:08 | INFO     | Torrent PT-BR (TMDB 939243) confirmado no qBittorrent na categoria ptbrmerger: Sonic 3 - O Filme 2024 WEB-DL 1080p x264 DUAL 5.1 | state=checkingResumeData | progress=0.0%
2026-03-25 21:48:08 | INFO     | Sucesso! O qBittorrent agora possui autonomia para baixar o áudio e acionar este script retroativamente.
